DesignName,ParticipantID,TrialID,Block1,Block2,OC,VV,Duration,NbErrors
Design 1,8,337,2,6,Medium,Hue,472,0
Design 1,8,338,2,7,Medium,Hue_Saturation,1478,0
Design 1,8,339,2,8,Medium,Hue,580,0
Design 1,8,340,2,9,Medium,Hue_Saturation,531,0
Design 1,8,341,2,10,Medium,Saturation,518,0
Design 1,8,342,2,10,Medium,Saturation,493,0
Design 1,8,343,2,11,Medium,Hue,642,0
Design 1,8,344,2,12,Medium,Saturation,546,0
Design 1,8,345,2,13,Medium,Hue,558,0
Design 1,8,346,3,1,Low,Saturation,581,0
Design 1,8,347,3,2,Low,Hue_Saturation,1271,0
Design 1,8,348,3,2,Low,Hue_Saturation,1497,0
Design 1,8,349,3,3,Low,Hue,529,0
Design 1,8,350,3,4,Low,Hue_Saturation,951,1
Design 1,8,351,3,5,Low,Saturation,730,0
Design 1,8,352,3,6,Low,Hue,557,0
Design 1,8,353,3,7,Low,Hue_Saturation,911,0
Design 1,8,354,3,8,Low,Hue,558,0
Design 1,8,355,3,9,Low,Hue_Saturation,2048,0
Design 1,8,356,3,10,Low,Saturation,641,0
Design 1,8,357,3,10,Low,Saturation,498,0
Design 1,8,358,3,11,Low,Hue,422,0
Design 1,8,359,3,12,Low,Saturation,435,0
Design 1,8,360,3,13,Low,Hue,547,0
Design 1,9,361,1,1,Low,Saturation,847,0
Design 1,9,362,1,2,Low,Hue_Saturation,805,0
Design 1,9,363,1,2,Low,Hue_Saturation,930,0
Design 1,9,364,1,3,Low,Hue,784,0
Design 1,9,365,1,4,Low,Hue_Saturation,2087,1
Design 1,9,366,1,5,Low,Saturation,755,0
Design 1,9,367,1,6,Low,Hue,719,0
Design 1,9,368,1,7,Low,Hue_Saturation,1340,0
Design 1,9,369,1,8,Low,Hue,879,0
Design 1,9,370,1,9,Low,Hue_Saturation,1100,0
Design 1,9,371,1,10,Low,Saturation,715,0
Design 1,9,372,1,10,Low,Saturation,627,0
Design 1,9,373,1,11,Low,Hue,600,0
